Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
2020-10-05,,,,5474.0,46360.0,2980.0,54814.0,4127315.0,38196.0,1.8,68006,176.0,43.0,26.0,6216.0,2650.0,1951.0,8.0
2020-10-06,,,,5469.0,46906.0,2987.0,55362.0,4169346.0,42031.0,1.8,55483,192.0,41.0,26.0,6230.0,2659.0,1953.0,8.0
2020-10-07,,,,5344.0,47613.0,2988.0,55945.0,4212623.0,43277.0,1.9,55413,195.0,43.0,28.0,6253.0,2668.0,1952.0,8.0
2020-10-08,,,,5442.0,48308.0,2992.0,56742.0,4261111.0,48488.0,2.1,58118,206.0,47.0,29.0,6274.0,2670.0,1954.0,8.0
2020-10-09,,,,5652.0,49032.0,2997.0,57681.0,4306025.0,44914.0,2.0,58173,225.0,47.0,29.0,6286.0,2682.0,1956.0,8.0
2020-10-10,,,,5754.0,49732.0,3004.0,58490.0,4350323.0,44298.0,2.0,56138,213.0,48.0,29.0,6296.0,2689.0,1961.0,8.0
2020-10-11,,,,5697.0,50437.0,3005.0,59139.0,4394461.0,44138.0,2.3,45837,217.0,51.0,32.0,6301.0,2689.0,1961.0,8.0
2020-10-12,,,,5833.0,51105.0,3008.0,59946.0,4430934.0,36473.0,2.3,32473,203.0,53.0,30.0,6310.0,2698.0,1961.0,8.0
2020-10-13,,,,5946.0,51729.0,3017.0,60692.0,4462167.0,31233.0,2.6,24420,230.0,60.0,34.0,6318.0,2706.0,1968.0,8.0
2020-10-14,,,,5884.0,52512.0,3017.0,61413.0,4494373.0,32206.0,3.0,26558,231.0,64.0,35.0,6335.0,2712.0,1968.0,8.0
2020-10-15,,,,5883.0,53291.0,3022.0,62196.0,4534334.0,39961.0,2.9,36314,253.0,62.0,31.0,6355.0,2717.0,1969.0,8.0
2020-10-16,,,,5873.0,54004.0,3031.0,62908.0,4572841.0,38507.0,2.0,37155,261.0,67.0,36.0,6365.0,2728.0,1974.0,8.0
2020-10-17,,,,5986.0,54686.0,3041.0,63713.0,4617563.0,44722.0,2.3,33630,278.0,72.0,42.0,6380.0,2733.0,1979.0,8.0
2020-10-18,,,,5954.0,55371.0,3046.0,64371.0,4658413.0,40850.0,2.5,23609,247.0,71.0,43.0,6402.0,2740.0,1980.0,8.0
2020-10-19,,,,6047.0,55978.0,3050.0,65075.0,4690277.0,31864.0,3.1,16303,252.0,69.0,40.0,6419.0,2755.0,1980.0,8.0
2020-10-20,,,,6237.0,56606.0,3053.0,65896.0,4714326.0,24049.0,3.6,24129,274.0,72.0,45.0,6442.0,2772.0,1979.0,8.0
2020-10-21,,,,6299.0,57325.0,3062.0,66686.0,4746972.0,32646.0,2.5,29332,260.0,71.0,49.0,6462.0,2781.0,1981.0,8.0
2020-10-22,,,,6390.0,58066.0,3071.0,67527.0,4785832.0,38860.0,2.5,34784,270.0,74.0,48.0,6487.0,2785.0,1984.0,8.0
2020-10-23,,,,6474.0,58799.0,3080.0,68353.0,4825851.0,40019.0,2.9,35436,276.0,78.0,47.0,6524.0,2796.0,1987.0,8.0
2020-10-24,,,,6821.0,59424.0,3086.0,69331.0,4870002.0,44151.0,2.6,30922,294.0,82.0,53.0,6607.0,2805.0,1989.0,8.0
2020-10-25,,,,7120.0,60160.0,3093.0,70373.0,4908771.0,38769.0,3.2,23601,278.0,79.0,54.0,6637.0,2820.0,1989.0,8.0
2020-10-26,,,,7286.0,60839.0,3099.0,71224.0,4937423.0,28652.0,3.8,17603,295.0,78.0,51.0,6678.0,2822.0,1991.0,8.0
2020-10-27,,,,7418.0,61530.0,3103.0,72051.0,4961368.0,23945.0,3.5,22636,312.0,75.0,52.0,6705.0,2837.0,1994.0,8.0
2020-10-28,,,,7474.0,62303.0,3108.0,72885.0,4991378.0,30010.0,3.0,33906,312.0,71.0,51.0,6737.0,2840.0,1996.0,8.0
2020-10-29,,,,7578.0,63123.0,3118.0,73819.0,5026999.0,35621.0,2.9,40074,322.0,77.0,52.0,6765.0,2851.0,2001.0,8.0
2020-10-30,,,,7669.0,63919.0,3127.0,74715.0,5068007.0,41008.0,2.8,41063,314.0,75.0,52.0,6829.0,2869.0,2004.0,8.0
2020-10-31,,,,7877.0,64717.0,3136.0,75730.0,5109927.0,41920.0,3.0,36262,320.0,73.0,54.0,6873.0,2873.0,2009.0,8.0
2020-11-01,,,,7981.0,65581.0,3145.0,76707.0,5147060.0,37133.0,3.0,23933,350.0,72.0,46.0,6941.0,2878.0,2013.0,8.0
2020-11-02,,,,8096.0,66407.0,3152.0,77655.0,5174968.0,27908.0,4.0,15397,328.0,75.0,45.0,6963.0,2891.0,2016.0,8.0
2020-11-03,,,,8295.0,67244.0,3166.0,78705.0,5200247.0,25279.0,4.0,20758,357.0,73.0,47.0,6998.0,2898.0,2024.0,8.0
2020-11-04,,,,8321.0,68189.0,3182.0,79692.0,5228814.0,28567.0,3.7,33087,367.0,75.0,44.0,7042.0,2926.0,2035.0,8.0
2020-11-05,,,,8358.0,69137.0,3195.0,80690.0,5264568.0,35754.0,3.3,41787,381.0,86.0,48.0,7094.0,2934.0,2042.0,8.0
2020-11-06,,,,8398.0,70086.0,3209.0,81693.0,5305836.0,41268.0,3.7,47074,380.0,86.0,49.0,7183.0,2946.0,2050.0,8.0
2020-11-07,,,,8667.0,70938.0,3220.0,82825.0,5345001.0,39165.0,3.5,44572,384.0,88.0,52.0,7213.0,2969.0,2056.0,8.0
2020-11-08,,,,9105.0,71815.0,3233.0,84153.0,5382578.0,37577.0,4.2,35776,374.0,86.0,51.0,7288.0,2983.0,2063.0,8.0
2020-11-09,,,,9514.0,72636.0,3245.0,85395.0,5410979.0,28401.0,5.0,26646,367.0,84.0,54.0,7329.0,2997.0,2069.0,8.0
2020-11-10,,,,10106.0,73417.0,3260.0,86783.0,5440104.0,29125.0,5.7,27802,422.0,82.0,54.0,7391.0,3016.0,2080.0,8.0
2020-11-11,,,,10631.0,74303.0,3275.0,88209.0,5476811.0,36707.0,5.1,34460,424.0,88.0,57.0,7470.0,3034.0,2087.0,8.0
2020-11-12,,,,11271.0,75220.0,3293.0,89784.0,5516370.0,39559.0,4.3,41977,431.0,98.0,62.0,7527.0,3040.0,2099.0,8.0
2020-11-13,,,,11630.0,76238.0,3312.0,91180.0,5556879.0,40509.0,4.5,44507,452.0,106.0,67.0,7554.0,3054.0,2109.0,8.0
2020-11-14,,,,12188.0,77241.0,3332.0,92761.0,5601716.0,44837.0,4.2,39767,502.0,107.0,66.0,7624.0,3074.0,2121.0,8.0
2020-11-15,,,,12345.0,78303.0,3361.0,94009.0,5643922.0,42206.0,3.8,26147,479.0,118.0,67.0,7685.0,3087.0,2141.0,8.0
2020-11-16,,,,12830.0,79295.0,3371.0,95496.0,5677273.0,33351.0,4.1,16254,500.0,125.0,70.0,7747.0,3097.0,2145.0,8.0
2020-11-17,,,,12932.0,80430.0,3383.0,96745.0,5703741.0,26468.0,6.1,25435,529.0,127.0,75.0,7788.0,3131.0,2148.0,8.0
2020-11-18,,,,12822.0,81925.0,3415.0,98162.0,5737181.0,33440.0,4.5,36671,535.0,127.0,78.0,7857.0,3152.0,2174.0,8.0
2020-11-19,,,,12628.0,83301.0,3443.0,99372.0,5779019.0,41838.0,4.1,44493,526.0,146.0,88.0,7915.0,3161.0,2189.0,8.0
2020-11-20,,,,12623.0,84716.0,3451.0,100790.0,5827192.0,48173.0,3.6,46609,518.0,142.0,92.0,7934.0,3172.0,2193.0,8.0
2020-11-21,,,,12827.0,86079.0,3472.0,102378.0,5873863.0,46671.0,4.3,43047,513.0,146.0,87.0,7984.0,3190.0,2206.0,8.0
2020-11-22,,,,12918.0,87508.0,3486.0,103912.0,5920252.0,46389.0,3.8,30427,484.0,147.0,89.0,8020.0,3197.0,2213.0,8.0
2020-11-23,,,,13004.0,88992.0,3505.0,105501.0,5957723.0,37471.0,4.6,18394,507.0,156.0,92.0,8078.0,3211.0,2224.0,8.0
2020-11-24,,,,12917.0,90074.0,3519.0,106510.0,5984776.0,27053.0,5.8,29316,534.0,159.0,91.0,8118.0,3218.0,2234.0,8.0
2020-11-25,,,,12779.0,91550.0,3554.0,107883.0,6020852.0,36076.0,4.7,44950,523.0,159.0,106.0,8177.0,3234.0,2256.0,8.0
2020-11-26,,,,12871.0,92915.0,3575.0,109361.0,6068428.0,47576.0,3.9,52852,556.0,151.0,105.0,8237.0,3248.0,2270.0,8.0
2020-11-27,,,,13255.0,94366.0,3595.0,111216.0,6126465.0,58037.0,3.7,54241,541.0,151.0,101.0,8330.0,3267.0,2283.0,8.0
2020-11-28,,,,13538.0,95876.0,3624.0,113038.0,6181551.0,55086.0,3.4,56219,595.0,155.0,99.0,,,2294.0,8.0
2020-11-29,,,,13779.0,97319.0,3648.0,114746.0,6235510.0,53959.0,3.7,38724,586.0,156.0,91.0,8361.0,,2301.0,8.0
2020-11-30,,,,14197.0,98639.0,3656.0,116492.0,6274916.0,39406.0,4.6,27388,618.0,168.0,108.0,8399.0,,2303.0,8.0
2020-12-01,,,,14524.0,100012.0,3663.0,118199.0,6309556.0,34640.0,5.1,34046,645.0,185.0,112.0,8493.0,,2309.0,8.0
2020-12-02,,,,14526.0,101698.0,3698.0,119922.0,6353782.0,44226.0,4.7,49574,656.0,183.0,106.0,8674.0,3373.0,2331.0,8.0
2020-12-03,,,,14795.0,103239.0,3712.0,121746.0,6406655.0,52873.0,4.4,58320,666.0,195.0,107.0,8726.0,3374.0,2342.0,8.0
2020-12-04,,,,14997.0,104792.0,3737.0,123526.0,6462656.0,56001.0,3.6,62403,674.0,207.0,116.0,,,2357.0,8.0
2020-12-05,,,,15212.0,106416.0,3757.0,125385.0,6522055.0,59399.0,3.4,63193,709.0,202.0,116.0,8850.0,3461.0,2370.0,8.0
2020-12-06,,,,15547.0,107990.0,3772.0,127309.0,6581306.0,59251.0,3.9,47850,701.0,204.0,109.0,8895.0,3487.0,2378.0,8.0
2020-12-07,,,,16034.0,109402,3798,129234,6626589,45283,4.0,31238,725,213,121,8966,3504,2391,8
