pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14
61,Northwest Territories,Territoires du Nord-Ouest,06-08-2020,5,0,0,5,3012,5,100.00,67193,0,0.00,11.15,0.00,0,0.00,42,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,06-08-2020,0,0,0,0,1441,0,N/A,37158,0,0.00,0.00,0.00,0,,14,0,,,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,06-08-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,,,,0,,0,
1,Canada,Canada,06-08-2020,118546,15,8966,118561,4319172,103106,86.96,114904,374,0.32,315.41,23.85,4,7.56,46566,318,5.47,6489,17.26,5889,15.67,92,0.24
59,British Columbia,Colombie-Britannique,07-08-2020,3934,0,195,3934,237247,3353,85.23,46782,53,1.37,77.57,3.85,0,4.96,2261,38,9.81,386,7.61,515,10.16,4,0.08
48,Alberta,Alberta,07-08-2020,11430,0,208,11430,613221,10097,88.34,140283,134,1.19,261.48,4.76,3,1.82,5858,113,9.84,1125,25.74,1344,30.75,30,0.69
47,Saskatchewan,Saskatchewan,07-08-2020,1409,0,20,1409,93388,1221,86.66,79516,22,1.59,119.97,1.70,1,1.42,1773,57,11.92,168,14.30,310,26.40,4,0.34
46,Manitoba,Manitoba,07-08-2020,476,15,8,491,96553,351,71.49,70504,17,3.59,35.85,0.58,0,1.63,3255,3,26.88,132,9.64,107,7.81,1,0.07
35,Ontario,Ontario,07-08-2020,39897,0,2783,39897,2269714,36024,90.29,155817,88,0.22,273.89,19.11,0,6.98,24314,118,2.73,1090,7.48,1492,10.24,25,0.17
24,Quebec,Québec,07-08-2020,60241,0,5687,60241,889002,50886,84.47,104774,108,0.18,709.97,67.02,0,9.44,9652,0,6.09,3668,43.23,1998,23.55,24,0.28
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,07-08-2020,267,0,3,267,26431,263,98.50,50679,1,0.38,51.19,0.58,0,1.12,151,0,0.37,1,0.19,2,0.38,0,0.00
13,New Brunswick,Nouveau-Brunswick,07-08-2020,176,0,2,176,47695,168,95.45,61397,0,0.00,22.66,0.26,0,1.14,257,0,3.41,6,0.77,6,0.77,0,0.00
12,Nova Scotia,Nouvelle-Écosse,07-08-2020,1071,0,64,1071,66739,1005,93.84,68704,0,0.00,110.25,6.59,0,5.98,449,0,0.19,2,0.21,4,0.41,1,0.10
11,Prince Edward Island,Île-du-Prince-Édouard,07-08-2020,36,0,0,36,20831,36,100.00,132726,0,0.00,22.94,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,07-08-2020,15,0,0,15,1836,13,86.67,44941,1,7.14,36.72,0.00,0,0.00,44,0,13.33,2,4.90,1,2.45,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,07-08-2020,5,0,0,5,3017,5,100.00,67305,0,0.00,11.15,0.00,0,0.00,5,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,07-08-2020,0,0,0,0,1458,0,N/A,37597,0,0.00,0.00,0.00,0,,17,0,,,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,07-08-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,,,,0,,0,
1,Canada,Canada,07-08-2020,118970,15,8970,118985,4367208,103435,86.93,116182,424,0.36,316.54,23.86,4,7.54,48036,329,5.53,6580,17.50,5779,15.37,89,0.24
59,British Columbia,Colombie-Britannique,08-08-2020,3934,0,195,3934,239845,3353,85.23,47294,0,0.00,77.57,3.85,0,4.96,2598,0,9.81,386,7.61,515,10.16,4,0.08
48,Alberta,Alberta,08-08-2020,11430,0,208,11430,613221,10097,88.34,140283,0,0.00,261.48,4.76,0,1.82,0,0,9.84,1125,25.74,1344,30.75,30,0.69
47,Saskatchewan,Saskatchewan,08-08-2020,1433,0,20,1433,94786,1245,86.88,80706,24,1.70,122.01,1.70,0,1.40,1398,24,11.72,168,14.30,297,25.29,4,0.34
46,Manitoba,Manitoba,08-08-2020,492,15,8,507,96553,351,69.23,70504,16,3.26,37.02,0.58,0,1.58,0,0,29.19,148,10.81,119,8.69,1,0.07
35,Ontario,Ontario,08-08-2020,39967,0,2784,39967,2294872,36131,90.40,157544,70,0.18,274.38,19.11,1,6.97,25158,107,2.63,1052,7.22,1424,9.78,25,0.17
24,Quebec,Québec,08-08-2020,60367,0,5692,60367,895496,50886,84.29,105539,126,0.21,711.46,67.08,5,9.43,6494,0,6.28,3789,44.66,1953,23.02,26,0.31
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,08-08-2020,267,0,3,267,26629,263,98.50,51058,0,0.00,51.19,0.58,0,1.12,198,0,0.37,1,0.19,2,0.38,0,0.00
13,New Brunswick,Nouveau-Brunswick,08-08-2020,176,0,2,176,47911,168,95.45,61675,0,0.00,22.66,0.26,0,1.14,216,0,3.41,6,0.77,6,0.77,0,0.00
12,Nova Scotia,Nouvelle-Écosse,08-08-2020,1071,0,64,1071,67080,1005,93.84,69055,0,0.00,110.25,6.59,0,5.98,341,0,0.19,2,0.21,4,0.41,1,0.10
11,Prince Edward Island,Île-du-Prince-Édouard,08-08-2020,36,0,0,36,21258,36,100.00,135447,0,0.00,22.94,0.00,0,0.00,427,0,0.00,0,0.00,0,0.00,0,0.00
60,Yukon,Yukon,08-08-2020,15,0,0,15,1836,13,86.67,44941,0,0.00,36.72,0.00,0,0.00,0,0,13.33,2,4.90,1,2.45,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,08-08-2020,5,0,0,5,3017,5,100.00,67305,0,0.00,11.15,0.00,0,0.00,0,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,08-08-2020,0,0,0,0,1458,0,N/A,37597,0,0.00,0.00,0.00,0,,0,0,,,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,08-08-2020,13,0,,13,76,13,100.00,,0,0.00,,,,,0,0,,,,0,,0,
1,Canada,Canada,08-08-2020,119206,15,8976,119221,4404038,103566,86.87,117162,236,0.20,317.17,23.88,6,7.53,36830,131,5.60,6679,17.77,5665,15.07,91,0.24
59,British Columbia,Colombie-Britannique,09-08-2020,3934,0,195,3934,241225,3353,85.23,47566,0,0.00,77.57,3.85,0,4.96,1380,0,9.81,386,7.61,515,10.16,4,0.08
48,Alberta,Alberta,09-08-2020,11430,0,208,11430,613221,10097,88.34,140283,0,0.00,261.48,4.76,0,1.82,0,0,9.84,1125,25.74,1344,30.75,30,0.69
47,Saskatchewan,Saskatchewan,09-08-2020,1445,0,20,1445,96331,1257,86.99,82021,12,0.84,123.04,1.70,0,1.38,1545,12,11.63,168,14.30,267,22.73,4,0.34
46,Manitoba,Manitoba,09-08-2020,527,15,8,542,96553,352,64.94,70504,35,6.90,39.58,0.58,0,1.48,0,1,33.58,182,13.29,148,10.81,1,0.07
35,Ontario,Ontario,09-08-2020,40046,0,2786,40046,2321735,36279,90.59,159388,79,0.20,274.92,19.13,2,6.96,26863,148,2.45,981,6.73,1366,9.38,23,0.16
